claim_id,winner_id,lane,score,status,pairwise_wins,pairwise_losses,hook
C1,C1-builder_practical-v2,builder_practical,5.903,viral_but_dangerous,24,0,"If you are choosing what to build, start here: A billionaire's trillion is not a pile of money. It's the market's belief about assets, sharp only; nobody is selling. Liquidate it and you sample at the worst possible rate; the number collapses on contact."
C2,C2-steelman_first-v3,steelman_first,6.32,publish_candidate,24,0,"If this claim is wrong, it is wrong here: This can read as 'poor lack skill'. State first: wealth ≈ generator × network position; position is inherited/luck/access, not merit. Cash moves neither. Outputs are the wrong redistribution target."
C3,C3-steelman_first-v3,steelman_first,6.44,publish_candidate,24,0,"If this claim is wrong, it is wrong here: Some crowded waves build shared infrastructure. Correct: distinguish constructive from destructive interference; claim targets waves competing for the same rent on a substrate pays once."
C4,C4-builder_practical-v2,builder_practical,6.255,publish_candidate,24,0,"If you are choosing what to build, start here: The scarce resource is stationarity: a piece of the world holds still long enough to build durable value. Wide world-changing plays destroy their own stationarity through interference."
C5,C5-builder_practical-v2,builder_practical,6.245,publish_candidate,23,1,"If you are choosing what to build, start here: The frontier is reconstructible from cheaper parts: ensemble weaker models, beat the frontier, recurse. A position rebuildable from commodity parts earns no durable rent."
C6,C6-builder_practical-v2,builder_practical,6.157,needs_rewrite,24,0,"If you are choosing what to build, start here: When you can cheaply check if an AI did well, merit routes around brand. Incumbents are incentivized to move evaluation from external to internal: trust our taste. The taste-and-trust frontier is the defensible one."
C7,C7-builder_practical-v2,builder_practical,6.765,publish_candidate,24,0,"If you are choosing what to build, start here: When validation is expensive, it gets skipped; skipped validation means position decides instead of merit. The master variable is the cost of a check you can trust."
C8,C8-steelman_first-v2,steelman_first,6.005,viral_but_dangerous,24,0,"Concede the strongest counter first: Rational expectations handles anticipated change. Reply: asymmetry is temporal, not rationality failure; slow signal is unavailable at decision time. It's a theory of reaching information equilibrium."
C9,C9-steelman_first-v3,steelman_first,6.342,publish_candidate,24,0,"If this claim is wrong, it is wrong here: μ also rises with tools. Partly, but terminal validator is human judgment/trust, not infinitely accelerable. Still: Let λ be world-change rate and μ market-validation rate. Below λ≈μ you get settled trust."
C10,C10-steelman_first-v3,steelman_first,6.065,needs_rewrite,24,0,"If this claim is wrong, it is wrong here: Smart firms forecast the slow signal. Some do, but forecasts of slow harm are exactly what fast positive feedback crowds out. Still: In a fast market, positive signal arrives fast and negative signal arrives slow."
C11,C11-steelman_first-v3,steelman_first,5.76,viral_but_dangerous,24,0,"If this claim is wrong, it is wrong here: Returns are real-world signal. Returns are fast signals can decouple from slow reality; the decoupling window is where runaways live. In a fast market it borrows direction from nearest signal, which is other capital."
C12,C12-steelman_first-v2,steelman_first,5.876,viral_but_dangerous,24,0,"Concede the strongest counter first: This is network effects/lock-in. Distinct: asset is dependability, not network size. A trusted small floor beats a large erratic one. Still: Compete on cost and you race to zero; cost is reconstructible."
C13,C13-steelman_first-v2,steelman_first,6.624,viral_but_dangerous,24,0,"Concede the strongest counter first: AI accelerates offense too. Load-bearing falsifier: if genuinely-new-state generation accelerates as much as recognition, reversal fails. If defense outruns offense, the world can push back in time."
